step,split,loss,learningRate,tokensPerSecond,peakMemoryGb,trainedTokens,durationSec,at
1,valid,5.275,,,,,14.904,2026-07-01T09:52:56.346634Z
10,train,3.88,3e-05,239.9,3.301,1964,,2026-07-01T09:53:04.541910Z
20,train,2.227,3e-05,244.516,3.301,4025,,2026-07-01T09:53:12.987185Z
30,train,1.387,3e-05,241.233,3.301,6037,,2026-07-01T09:53:21.339183Z
40,train,0.844,3e-05,239.329,3.301,8125,,2026-07-01T09:53:30.074743Z
50,train,0.594,3e-05,244.262,3.301,10130,,2026-07-01T09:53:38.297214Z
60,train,0.574,3e-05,246.171,3.301,12162,,2026-07-01T09:53:46.558979Z
70,train,0.265,3e-05,236.275,3.301,14146,,2026-07-01T09:53:54.968810Z
80,train,0.22,3e-05,241.357,3.301,16173,,2026-07-01T09:54:03.375295Z
90,train,0.192,3e-05,240.002,3.301,18133,,2026-07-01T09:54:11.550078Z
100,valid,0.25,,,,,13.545,2026-07-01T09:54:32.459529Z
100,train,0.142,3e-05,235.263,3.301,20037,,2026-07-01T09:54:33.207463Z
110,train,0.18,3e-05,243.333,3.316,22132,,2026-07-01T09:54:41.863162Z
120,train,0.155,3e-05,243.963,3.316,24238,,2026-07-01T09:54:50.503729Z
130,train,0.127,3e-05,243.25,3.316,26207,,2026-07-01T09:54:58.613521Z
140,train,0.13,3e-05,246.918,3.316,28308,,2026-07-01T09:55:07.133966Z
150,train,0.118,3e-05,243.836,3.316,30233,,2026-07-01T09:55:15.038797Z
160,train,0.089,3e-05,239.393,3.316,32324,,2026-07-01T09:55:23.784087Z
170,train,0.106,3e-05,249.469,3.316,34323,,2026-07-01T09:55:31.804703Z
180,train,0.093,3e-05,244.826,3.316,36353,,2026-07-01T09:55:40.103821Z
190,train,0.086,3e-05,239.563,3.316,38421,,2026-07-01T09:55:48.749134Z
200,valid,0.132,,,,,13.95,2026-07-01T09:56:09.798111Z
200,train,0.081,3e-05,242.749,3.316,40357,,2026-07-01T09:56:10.690929Z
210,train,0.086,3e-05,249.995,3.316,42373,,2026-07-01T09:56:18.804301Z
220,train,0.073,3e-05,239.728,3.316,44442,,2026-07-01T09:56:27.442242Z
230,train,0.082,3e-05,239.496,3.316,46488,,2026-07-01T09:56:35.998510Z
240,train,0.065,3e-05,226.596,3.316,48526,,2026-07-01T09:56:45.002842Z
250,train,0.065,3e-05,235.453,3.316,50557,,2026-07-01T09:56:53.639714Z
260,train,0.063,3e-05,228.409,3.316,52680,,2026-07-01T09:57:02.941216Z
270,train,0.064,3e-05,235.126,3.316,54694,,2026-07-01T09:57:11.520191Z
280,train,0.066,3e-05,213.063,3.316,56673,,2026-07-01T09:57:20.820321Z
290,train,0.062,3e-05,226.35,3.316,58679,,2026-07-01T09:57:29.691039Z
300,valid,0.079,,,,,15.694,2026-07-01T09:57:53.456184Z
300,train,0.066,3e-05,220.802,3.316,60660,,2026-07-01T09:57:54.367706Z
310,train,0.058,3e-05,190.253,3.316,62656,,2026-07-01T09:58:04.920993Z
320,train,0.06,3e-05,191.197,3.316,64659,,2026-07-01T09:58:15.407506Z
330,train,0.058,3e-05,195.439,3.316,66759,,2026-07-01T09:58:26.166931Z
340,train,0.049,3e-05,209.263,3.316,68897,,2026-07-01T09:58:36.393669Z
350,train,0.061,3e-05,225.794,3.316,70950,,2026-07-01T09:58:45.497111Z
360,train,0.057,3e-05,241.755,3.316,72912,,2026-07-01T09:58:53.631114Z
370,train,0.051,3e-05,233.727,3.316,75018,,2026-07-01T09:59:02.648214Z
380,train,0.048,3e-05,235.372,3.316,77077,,2026-07-01T09:59:11.403734Z
390,train,0.06,3e-05,235.604,3.316,79119,,2026-07-01T09:59:20.078696Z
400,valid,0.08,,,,,13.802,2026-07-01T09:59:41.666472Z
400,train,0.05,3e-05,237.96,3.316,81149,,2026-07-01T09:59:42.425524Z
410,train,0.058,3e-05,242.725,3.316,83151,,2026-07-01T09:59:50.743077Z
420,train,0.056,3e-05,238.143,3.316,85203,,2026-07-01T09:59:59.372221Z
430,train,0.055,3e-05,244.24,3.316,87283,,2026-07-01T10:00:07.903345Z
440,train,0.052,3e-05,241.593,3.316,89378,,2026-07-01T10:00:16.584984Z
450,train,0.052,3e-05,243.687,3.316,91411,,2026-07-01T10:00:24.953808Z
460,train,0.047,3e-05,246.756,3.316,93590,,2026-07-01T10:00:33.802919Z
470,train,0.049,3e-05,246.071,3.316,95711,,2026-07-01T10:00:42.434474Z
480,train,0.052,3e-05,244.422,3.316,97666,,2026-07-01T10:00:50.441622Z
490,train,0.047,3e-05,240.812,3.316,99750,,2026-07-01T10:00:59.110670Z
500,valid,0.071,,,,,13.939,2026-07-01T10:01:20.460824Z
500,train,0.051,3e-05,243.394,3.316,101733,,2026-07-01T10:01:21.208288Z
510,train,0.05,3e-05,243.943,3.316,103729,,2026-07-01T10:01:29.440801Z
520,train,0.053,3e-05,240.669,3.316,105862,,2026-07-01T10:01:38.313700Z
530,train,0.048,3e-05,239.231,3.316,108003,,2026-07-01T10:01:47.271588Z
540,train,0.049,3e-05,244.21,3.316,110061,,2026-07-01T10:01:55.711596Z
550,train,0.047,3e-05,244.92,3.316,112140,,2026-07-01T10:02:04.208751Z
560,train,0.049,3e-05,246.665,3.316,114073,,2026-07-01T10:02:12.054857Z
570,train,0.048,3e-05,245.918,3.316,116227,,2026-07-01T10:02:20.828298Z
580,train,0.047,3e-05,241.811,3.316,118218,,2026-07-01T10:02:29.077502Z
590,train,0.053,3e-05,241.148,3.316,120162,,2026-07-01T10:02:37.147332Z
600,valid,0.072,,,,,13.986,2026-07-01T10:02:58.361824Z
600,train,0.051,3e-05,244.162,3.316,122140,,2026-07-01T10:02:59.244749Z
610,train,0.047,3e-05,243.433,3.316,124209,,2026-07-01T10:03:07.804767Z
620,train,0.056,3e-05,235.833,3.316,126181,,2026-07-01T10:03:16.186214Z
630,train,0.048,3e-05,239.064,3.316,128240,,2026-07-01T10:03:24.806891Z
640,train,0.048,3e-05,243.104,3.316,130203,,2026-07-01T10:03:32.893959Z
650,train,0.045,3e-05,244.135,3.316,132220,,2026-07-01T10:03:41.165434Z
660,train,0.047,3e-05,244.301,3.316,134224,,2026-07-01T10:03:49.388095Z
670,train,0.053,3e-05,249.864,3.316,136352,,2026-07-01T10:03:57.911151Z
680,train,0.049,3e-05,241.352,3.316,138412,,2026-07-01T10:04:06.455671Z
690,train,0.046,3e-05,245.111,3.316,140457,,2026-07-01T10:04:14.808370Z
700,valid,0.077,,,,,13.603,2026-07-01T10:04:36.256374Z
700,train,0.046,3e-05,243.158,3.316,142546,,2026-07-01T10:04:37.007097Z
710,train,0.045,3e-05,246.833,3.316,144630,,2026-07-01T10:04:45.525032Z
720,train,0.045,3e-05,245.359,3.316,146770,,2026-07-01T10:04:54.256154Z
730,train,0.052,3e-05,239.816,3.316,148720,,2026-07-01T10:05:02.396296Z
740,train,0.053,3e-05,244.938,3.316,150738,,2026-07-01T10:05:10.643892Z
750,train,0.045,3e-05,239.578,3.316,152782,,2026-07-01T10:05:19.184824Z
760,train,0.051,3e-05,238.892,3.316,154726,,2026-07-01T10:05:27.332568Z
770,train,0.044,3e-05,234.016,3.316,156859,,2026-07-01T10:05:36.455137Z
780,train,0.044,3e-05,236.201,3.316,158871,,2026-07-01T10:05:44.981885Z
790,train,0.048,3e-05,237.56,3.316,160940,,2026-07-01T10:05:53.697590Z
800,valid,0.066,,,,,14.041,2026-07-01T10:06:15.754982Z
800,train,0.047,3e-05,236.8,3.316,163043,,2026-07-01T10:06:16.625649Z
810,train,0.049,3e-05,244.998,3.316,164946,,2026-07-01T10:06:24.479648Z
816,valid,0.066,,,,,13.844,2026-07-01T10:06:42.451810Z
816,train,0.045,3e-05,247.374,3.316,166150,,2026-07-01T10:06:43.200200Z
