step,split,loss,learningRate,tokensPerSecond,peakMemoryGb,trainedTokens,durationSec,at
1,valid,5.607,,,,,2.107,2026-07-01T08:53:33.721271Z
10,train,3.953,0.0001,193.773,0.781,961,,2026-07-01T08:53:38.686137Z
20,train,2.26,0.0001,772.17,0.84,2030,,2026-07-01T08:53:40.076776Z
30,train,1.311,0.0001,811.372,0.84,3193,,2026-07-01T08:53:41.516822Z
40,train,1.429,0.0001,790.6,0.84,4268,,2026-07-01T08:53:42.881908Z
50,train,0.758,0.0001,787.715,0.84,5282,,2026-07-01T08:53:44.174617Z
60,train,0.312,0.0001,792.251,0.84,6320,,2026-07-01T08:53:45.490456Z
70,train,0.7,0.0001,766.158,0.84,7284,,2026-07-01T08:53:46.754102Z
80,train,0.229,0.0001,783.4,0.84,8271,,2026-07-01T08:53:48.020560Z
90,train,0.117,0.0001,777.272,0.84,9262,,2026-07-01T08:53:49.300481Z
100,valid,0.145,,,,,1.907,2026-07-01T08:53:52.405290Z
100,train,0.349,0.0001,790.949,0.84,10313,,2026-07-01T08:53:52.542047Z
110,train,0.151,0.0001,806.067,0.84,11354,,2026-07-01T08:53:53.848716Z
120,train,0.096,0.0001,776.262,0.84,12387,,2026-07-01T08:53:55.185181Z
130,train,0.125,0.0001,807.213,0.846,13474,,2026-07-01T08:53:56.538493Z
140,train,0.127,0.0001,817.81,0.846,14574,,2026-07-01T08:53:57.889042Z
150,train,0.087,0.0001,797.932,0.846,15661,,2026-07-01T08:53:59.257023Z
160,train,0.081,0.0001,798.366,0.846,16768,,2026-07-01T08:54:00.649334Z
170,train,0.065,0.0001,771.47,0.846,17767,,2026-07-01T08:54:01.952214Z
180,train,0.043,0.0001,756.091,0.846,18747,,2026-07-01T08:54:03.252975Z
190,train,0.054,0.0001,791.813,0.846,19776,,2026-07-01T08:54:04.558008Z
200,valid,0.077,,,,,1.938,2026-07-01T08:54:07.727516Z
200,train,0.069,0.0001,818.477,0.846,20895,,2026-07-01T08:54:07.868852Z
210,train,0.069,0.0001,800.271,0.846,21955,,2026-07-01T08:54:09.217126Z
220,train,0.102,0.0001,779.586,0.846,23055,,2026-07-01T08:54:10.634917Z
230,train,0.074,0.0001,771.422,0.846,24084,,2026-07-01T08:54:11.974284Z
240,train,0.074,0.0001,793.551,0.846,25188,,2026-07-01T08:54:13.371133Z
250,train,0.069,0.0001,807.649,0.846,26277,,2026-07-01T08:54:14.725071Z
260,train,0.06,0.0001,773.77,0.846,27310,,2026-07-01T08:54:16.073277Z
270,train,0.053,0.0001,720.623,0.846,28239,,2026-07-01T08:54:17.360805Z
280,train,0.084,0.0001,798.437,0.846,29362,,2026-07-01T08:54:18.773465Z
290,train,0.061,0.0001,792.251,0.846,30349,,2026-07-01T08:54:20.024374Z
300,valid,0.068,,,,,1.966,2026-07-01T08:54:23.207634Z
300,train,0.078,0.0001,818.355,0.846,31456,,2026-07-01T08:54:23.348659Z
310,train,0.064,0.0001,782.945,0.846,32520,,2026-07-01T08:54:24.741150Z
320,train,0.085,0.0001,805.169,0.846,33610,,2026-07-01T08:54:26.099806Z
327,valid,0.06,,,,,1.937,2026-07-01T08:54:28.804252Z
327,train,0.083,0.0001,790.239,0.846,34321,,2026-07-01T08:54:28.940337Z
